diff_within_minus_naive,precision_within,precision_naive
-0.012000000000000004,0.056,0.068
0.03,0.118,0.088
-0.013999999999999985,0.13,0.144
0.013999999999999999,0.098,0.084
0.01999999999999999,0.12,0.1
-0.0040000000000000036,0.066,0.07
-0.007999999999999993,0.078,0.086
0.018000000000000002,0.112,0.094
-0.009999999999999995,0.082,0.092
0.0040000000000000036,0.14,0.136
-0.0020000000000000018,0.076,0.078
-0.019999999999999997,0.034,0.054
0.029999999999999985,0.144,0.114
-0.016,0.046,0.062
-0.05400000000000002,0.146,0.2
0.013999999999999999,0.098,0.084
-0.034,0.168,0.202
0.011999999999999997,0.122,0.11
-0.006000000000000005,0.09,0.096
0.0020000000000000018,0.13,0.128
-0.008,0.048,0.056
-0.008000000000000007,0.092,0.1
0.020000000000000004,0.114,0.094
-0.0040000000000000036,0.08,0.084
0.01200000000000001,0.13,0.118
-0.016,0.038,0.054
-0.018000000000000002,0.072,0.09
0.006000000000000005,0.092,0.086
0.001999999999999974,0.142,0.14
-0.013999999999999999,0.05,0.064
0.018000000000000016,0.136,0.118
0.014000000000000012,0.138,0.124
0.01999999999999999,0.144,0.124
-0.005999999999999978,0.14,0.146
-0.0040000000000000036,0.066,0.07
0.011999999999999997,0.104,0.092
0.0,0.13,0.13
-0.020000000000000004,0.076,0.096
-0.04400000000000001,0.154,0.198
0.0020000000000000018,0.084,0.082
0.016000000000000014,0.136,0.12
-0.0020000000000000018,0.142,0.144
-0.010000000000000009,0.126,0.136
0.020000000000000004,0.116,0.096
0.0020000000000000018,0.062,0.06
0.016,0.108,0.092
-0.020000000000000004,0.078,0.098
-0.0020000000000000018,0.066,0.068
0.013999999999999999,0.122,0.108
0.0,0.154,0.154
0.022000000000000006,0.094,0.072
0.01200000000000001,0.14,0.128
0.016,0.118,0.102
0.0,0.086,0.086
0.020000000000000004,0.114,0.094
0.01200000000000001,0.114,0.102
0.016,0.132,0.116
0.008000000000000007,0.096,0.088
0.032,0.124,0.092
-0.012000000000000004,0.056,0.068
0.0020000000000000018,0.134,0.132
0.017999999999999988,0.118,0.1
-0.011999999999999997,0.06,0.072
