K,score,lift
100,naive_baseline,7.896484098939929
100,raw_composite,10.767932862190811
100,within_client,12.203657243816254
250,naive_baseline,8.901491166077738
250,raw_composite,8.040056537102473
250,within_client,8.901491166077738
500,naive_baseline,7.178621908127209
500,raw_composite,6.317187279151943
500,within_client,8.757918727915193
750,naive_baseline,6.508617196702002
750,raw_composite,5.838612485276795
750,within_client,7.370051825677267
1000,naive_baseline,5.8146837455830385
1000,raw_composite,5.025035335689046
1000,within_client,6.388973498233215
1500,naive_baseline,5.025035335689046
1500,raw_composite,4.833605418138986
1500,within_client,5.16860777385159
2000,naive_baseline,4.486638692579505
2000,raw_composite,4.235386925795052
2000,within_client,4.450745583038869
